fil,namn,sida_start,skip1,skip2,sida_slut,forfattare
Karl_Anders_Backman,Karl Anders Backman,7,9,10,13,Jonatan Reuter
Karl_Henrik_Konstantin_Blomqvist,Karl Henrik Konstantin Blomqvist,14,19,20,21,Klas Tallqvist
Frans_Edvard_Edelheim,Frans Edvard Edelheim,22,29,30,36,K. E. Palmén
Ernst_Gustaf_Hedman,Ernst Gustaf Hedman,37,39,40,51,Jonatan Reuter
Johan_Johansson,Johan Johansson,52,57,58,62,Jonatan Reuter
Rudolf_Kolster,Rudolf Kolster,63,75,76,80,Herman och Fr. Kolster
Endre_Lekve,Endre Lekve,81,93,94,100,K. E. Palmén
Karl_Johan_Lindberg,Karl Johan Lindberg,101,111,112,120,Hjalmar Tallqvist
Herman_Norrmen,Herman Norrmén,121,129,130,135,C. E. Holmberg
Georg_Adolf_Stromberg,Georg Adolf Strömberg,136,147,148,163,K. E. Palmén
Gustaf_Viktor_Vikman,Gustaf Viktor Vikman,164,169,170,173,Jonatan Reuter
