fil,namn,sida_start,skip1,skip2,sida_slut,forfattare
Edvin_Leonard_Bergroth,Edvin Leonard Bergroth,10,16,17,20,Jonatan Reuter
Carl_Adolf_Engstrom,Carl Adolf Engström,21,26,27,30,Jonatan Reuter
Gustaf_Adolf_Helsingius,Gustaf Adolf Helsingius,31,36,37,48,Jonatan Reuter
Jacob_Robert_Huber,Jacob Robert Huber,49,54,55,56,Jonatan Reuter
Carl_Theodor_Hoijer,Carl Theodor Höijer,57,64,65,66,Jonatan Reuter
Bruno_V_Nordberg,Bruno V. Nordberg,67,74,75,87,C. E. Holmberg
Karl_Evert_Palmen,Karl Evert Palmén,88,92,93,104,Jonatan Reuter
Henrik_Theodor_Tallqvist,Henrik Theodor Tallqvist,105,126,127,148,Klas Tallqvist
Evert_Edelfrid_Wasastjerna,Evert Edelfrid Wasastjerna,149,152,153,158,Jonatan Reuter

fil,namn,sida_start,skip1,skip2,sida_slut,forfattare
Karl_Joel_Appelberg,Karl Joel Appelberg,7,17,18,35,Hjalmar Tallqvist
Adolf_Ossian_Aschan,Adolf Ossian Aschan,36,51,52,63,Jonatan Reuter
Julius_Donatus_Forsman,Julius Donatus Forsman,64,69,70,74,Jonatan Reuter
Fredrik_Werner_Lindberg,Fredrik Werner Lindberg,75,87,88,115,Hjalmar Tallqvist
Gustaf_Robert_Lindberg,Gustaf Robert Lindberg,116,121,122,126,Jonatan Reuter
Karl_Hugo_Lindfors,Karl Hugo Lindfors,127,131,132,135,Lars Krogius
Klas_Mathias_Moring,Klas Mathias Moring,136,141,142,148,Jonatan Reuter
Karl_Gustaf_Nystrom,Karl Gustaf Nyström,149,151,152,155,Carolus Lindberg
Ernst_Edvard_Qvist,Ernst Edward Qvist,156,161,162,179,Klas Tallqvist
Knut_Adolf_Ludvig_Stjernvall,Knut Adolf Ludvig Stjernvall,180,187,188,193,Klas Tallqvist
Axel_Wilhelm_Wahren,Axel Wilhelm Wahren,194,197,198,237,K. E. Palmén
Evert_Albert_Vilen,Evert Albert Vilén,238,241,242,251,Jonatan Reuter

fil,namn,sida_start,skip1,skip2,sida_slut,forfattare
Karl_Anders_Backman,Karl Anders Backman,7,9,10,13,Jonatan Reuter
Karl_Henrik_Konstantin_Blomqvist,Karl Henrik Konstantin Blomqvist,14,19,20,21,Klas Tallqvist
Frans_Edvard_Edelheim,Frans Edvard Edelheim,22,29,30,36,K. E. Palmén
Ernst_Gustaf_Hedman,Ernst Gustaf Hedman,37,39,40,51,Jonatan Reuter
Johan_Johansson,Johan Johansson,52,57,58,62,Jonatan Reuter
Rudolf_Kolster,Rudolf Kolster,63,75,76,80,Herman och Fr. Kolster
Endre_Lekve,Endre Lekve,81,93,94,100,K. E. Palmén
Karl_Johan_Lindberg,Karl Johan Lindberg,101,111,112,120,Hjalmar Tallqvist
Herman_Norrmen,Herman Norrmén,121,129,130,135,C. E. Holmberg
Georg_Adolf_Stromberg,Georg Adolf Strömberg,136,147,148,163,K. E. Palmén
Gustaf_Viktor_Vikman,Gustaf Viktor Vikman,164,169,170,173,Jonatan Reuter
